filename,years,max_year,num_unique_years
19009740-Z03.txt,2019,2019,1
PADI-NH-5-859-L.txt,1995,1995,1
11069710-z13.txt,2013,2013,1
padi-p-4-221-l.txt,1996,1996,1
0207159-padi.txt,2005,2005,1
16052580-W06.txt,2017,2017,1
78000825-HK.txt,1979,1979,1
20005540-M22.txt,2022,2022,1
12004460-m17.txt,2012,2012,1
05004260-a29-e.txt,2006,2006,1
NOPADI-PX-5-113-L.txt,1994,1994,1
19032400-F20.txt,2020,2020,1
07104500-v02-e.txt,2007,2007,1
9907134.txt,2000,2000,1
10071810-t12.txt,2011,2011,1
04038820-n25.txt,2012,2012,1
10080980-t10.txt,2011,2011,1
09051660-p03.txt,2011,2011,1
78000292-1-HK.txt,1979,1979,1
21067380-Q03.txt,"2019, 2019",2019,1
0109232-padi.txt,2003,2003,1
07064870-t07-e.txt,2008,2008,1
20011460-R11.txt,2021,2021,1
05081070-n04-e.txt,2006,2006,1
PADI-ND-2-325-L.txt,1991,1991,1
20071400-M06.txt,2021,2021,1
PADI-NB-2-821-L.txt,1989,1989,1
0203114.txt,2002,2002,1
16023770-w10.txt,2017,2017,1
18020080-Q07.txt,"2018, 2019, 2019",2019,2
0500134.txt,2005,2005,1
11018550-e02.txt,2011,2011,1
10056490-s02.txt,"2008, 2007, 2010",2010,3
LA-1-309-L.txt,1977,1977,1
18026050-M18.txt,2019,2019,1
NOPADI-NG-4-129-L.txt,1993,1993,1
18020090-Q07.txt,"2018, 2019, 2019",2019,2
06002170-r01-e.txt,2006,2006,1
PADI-LF-4-755-L.txt,1983,1983,1
15045780-t03.txt,2016,2016,1
22071900-A03.txt,2022,2022,1
NOPADI-NH-1-022-L.txt,1993,1993,1
14067050-w06.txt,"2015, 2015",2015,1
22011500-A15.txt,2022,2022,1
22057320-O06.txt,2023,2023,1
08002440-m04.txt,2008,2008,1
0310154.txt,"2003, 2003",2003,1
PADI-LD-1-492-L.txt,1980,1980,1
18042990-A03.txt,2018,2018,1
0306671-padi.txt,2005,2005,1
22047420-E07.txt,2022,2022,1
08062430-r07.txt,2010,2010,1
07007270-m15.txt,2011,2011,1
06021710-n05.txt,2011,2011,1
02109760-a06.txt,2003,2003,1
18000930-Z09.txt,2018,2018,1
17013080-V48.txt,"2020, 2014",2020,2
10025920-w04.txt,2010,2010,1
